routename,seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration,STATE
Ongole to Hyderabad,34 Seats available,A/C Seater / Sleeper (2+1),Vikram Travels,23:15,4.6,"Starts from
INR 499",06:18,07h 03m,anthara
Ongole to Hyderabad,14 Seats available,A/C Seater / Sleeper (2+1),Vikram Travels,23:15,4.6,"Starts from
INR 499",06:18,07h 03m,anthara
Ongole to Hyderabad,22 Seats available,A/C Seater / Sleeper (2+1),Vikram Travels,23:15,4.6,"Starts from
INR 499",06:18,07h 03m,anthara
Ongole to Hyderabad,,A/C Seater / Sleeper (2+1),Vikram Travels,23:15,4.6,"Starts from
INR 499",06:18,07h 03m,anthara
Ongole to Hyderabad,,A/C Seater / Sleeper (2+1),Vikram Travels,23:15,4.6,"Starts from
INR 499",06:18,07h 03m,anthara
Bangalore to Anantapur (andhra pradesh),25 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,18:50,4.7,"Starts from
INR 949",22:45,03h 55m,anthara
Bangalore to Anantapur (andhra pradesh),24 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,18:50,4.7,"Starts from
INR 949",22:45,03h 55m,anthara
Bangalore to Anantapur (andhra pradesh),24 Seats available,A/C Seater / Sleeper (2+1),IntrCity SmartBus,18:50,4.7,"Starts from
INR 949",22:45,03h 55m,anthara
Bangalore to Anantapur (andhra pradesh),,A/C Seater / Sleeper (2+1),IntrCity SmartBus,18:50,4.7,"Starts from
INR 949",22:45,03h 55m,anthara
Bangalore to Anantapur (andhra pradesh),,A/C Seater / Sleeper (2+1),IntrCity SmartBus,18:50,4.7,"Starts from
INR 949",22:45,03h 55m,anthara
Bangalore to Chittoor (Andhra Pradesh),1 Seat available,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),8 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),5 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),14 Seats available,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Bangalore to Chittoor (Andhra Pradesh),,Electric A/C Seater (2+2),FRESHBUS,09:20,4.2,INR 349 249,13:00,03h 40m,anthara
Chittoor (Andhra Pradesh) to Bangalore,21 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,15 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,20 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,58 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
Chittoor (Andhra Pradesh) to Bangalore,,Bharat Benz A/C Seater /Sleeper (2+1),Yolo Bus,09:22,4.3,"Starts from
INR 250 125",13:59,04h 37m,anthara
